10	The problem is that grammar is somewhat tied to meaning here. The position of an adjective in a sentence depends on its role. When used attributively (to describe a noun), as stated in other comments and answers, the adjective comes before the noun: All navigable rivers are being patrolled. If you say: All rivers that are navigable are being patrolled. (Others are not) This can become: All rivers navigable are being patrolled. At first glance this doesn't really seem to change the meaning since: rivers that are navigable = navigable rivers Edit: But... When an adjective comes after the noun it describes (like in the 3rd example), it functions as a postpositive modifier. Changing the position of the adjective (relative to the noun it describes) may bring a slight difference in the meaning of the sentence (the meaning of the word itself does not change!). When used postpositively an adjective connotes an ephemeral quality, one that is present at the moment, but doesn't always have to be. On the other hand, the adjectives used attributively may express either an ephemeral or a permanent characteristic, depending on the context. The difference between attributive and postpositive use of an adjective is explained in more detail in (the middle of) this post and in the comments. Only some adjectives can be used both attributively and postpositively (while retaining the same word meaning), and these are the ones ending in -able and -ible (such as navigable). (But not even all of those - see later: responsible). To cover another aspect (this is where grammar kicks in again): if an adjective is used predicatively (in a pattern: subject + verb + object + complement (here an adjective)) it would be in a sentence like this: Signalisation on the banks made rivers navigable. (Or something like that, I'm not really an expert on rivers). The upcoming event made people excited. The meaning of some adjectives (when used as modifiers) changes depending on whether they are used attributively or postpositively. Some examples are: concerned, responsible, present etc. Neither navigable nor excited are among those. Here the meaning of the word itself changes and the difference can be determined by checking the dictionary definitions.
11	Here are the common prepositions we use with born, as listed in a definition given by the Macmillan Dictionary: born [adjective] [never before noun] when a baby is born, it comes out of its mother’s body and starts its life. The time when you are born is your birth, and a mother gives birth to a baby Her grandfather died before she was born. born in: I was born in Tokyo. born on: The twins were born on August 29, 1962. born into: Meg was born into a large family. born to: More children are now born to older women. In short, we use born in a place, born on a date, born into a family, born to a mother (or parents, as in your example). According to an answer to a related question, this part gives us a good reason why we don't use born by anymore: When we speak today of a child being born, there is no longer a sense that this was an action performed upon the child by the mother; it is, rather, an event. We no longer say that John Smith was born on April 1, 1950 by Mary Jones Smith; we say at most that John Smith was born on April 1, 1950 to Mary Jones Smith.
12	The correct sentence would be : Does anyone have a black pen? I would recommend not trying to follow rules blindly (might I add, like a robot) and give your intuition a voice too.
13	Anyone, in this instance, is not plural. So, just substitute a name, "Does John ____ a black pen?" The answer is "have." However, the point is moot when one considers the more acceptable form (picture a classroom setting), "Who here has a black pen?" Mary might answer, "Jane has one." Jane might answer, "I have one." While to the original form, "Does anyone have a black pen" the literal answer could be "Yes, of course."
14	When using auxillary or helping verbs, the first verb is conjugated according to subject, but the second part of it is fixed. Take present progressive tense, for an example: I am going to the park. He is going to the park. We are going to the park. The basic construction here is {to be} + {-ing form of verb}. The {to be} is conjugated according to subject, but not its helping verb - it'll always be "going" in this example. This is the same with {to do} + {plain form of verb}, which is the emphatic form of a verb, and often used for negative and interrogative expressions. I do go to the park from time to time. He does go to the park from time to time. Do you go to the park from time to time? Does he go to the park from time to time? Does anyone go to the park from time to time? Anyone is singular, so the first verb is conjugated accordingly, but not any subsequent helping verb.
15	No, they mean different things. "Keeping well" means "keeping healthy". So "I hope you're keeping well" is a slightly old fashioned greeting. It might be addressed to an older person (for whom being "well" might be in some doubt). I can't imagine a child using it with their friends. To "keep doing well" is not an idiom. "Well" is the adverb related to "good". The speaker is hoping that the other person continues to do something in a good manner Eg. -- I've got over 90% in all my maths tests this year. -- That's great. I hope you keep doing well.
16	The attribute inheres in the created not in the act of creating. You can take are created as a quasi-copula complemented by a predicate adjective that applies to that which is created. We don't say born freely do we? Created equal is perfectly grammatical.
17	Equal, the adjective, is correct here. Created equally, with the adverb, implies that some things are more and some are less "created"—which would presumably mean (it's not idiomatic English) that they owe their origins to a greater or lesser degree to some sort of act of creation, as opposed to having arising spontaneously. Equal is not an adverb but a "subject-oriented predicate complement", a term which describes the subject and is attributed to it as a result of the action of the verb. Compare, for instance: Coffee was served black. Coffee was served in large mugs. Black and in large mugs are subject-oriented predicate complements. All men are created equal thus means that all men (and women, too!) were created as equal—the creative act caused them to be equal.
18	"Created equal" means "created such that they are equal". A homosexual man might say, "Your God created me gay!". This is the same grammar: gay is an adjective, complement to the verb created. (And note, by the way, it cannot be: "... created me gaily!") "Created equally" is an awkward application of an adverb to a verb. A speaker who uses this might be making a mistake, having intended to say "created equal", or might be trying to say "created according to the same procedure, to the same level of completion". "Equally" is usually a helping adverb in an adverbial phrase as in "equally well", "equally far" and so on. By itself, it usually refers to something being done such that there are even proportions: "The food rations were divided equally among the stranded passengers." "Daniel treated his three children equally when it came to love or discipline." To say, "created to the same level of completion, by the same procedure", we normally say "created in the same way". Equally doesn't function very effectively as a synonym for in the same way; at least not in all the circumstances in which we can use in the same way.
19	In this specific sentence the use of who is correct. As a rule of thumb: Think whether you would use he or him if the sentence was written differently. In this case you would say "The man proved to be a swindler. I thought HE was thoroughly honest." If you wanted to say "I thought of HIM as thoroughly honest.", whom would be the way to go
20	OYou can use either who or whom; both are correct grammatically. It's common to use "who" in place of the object pronoun "whom". The use of the whom is formal or less common in speech and writing. Furthermore, the who/whom is a relative object pronoun in the relative defining clause "who/whom I thought was thoroughly honest". You can drop the who/whom. Besides, you can also use the structure think + someone + adjective. So you can also drop "was" in the clause. The sentence can be rephrased or reduced as follows: The man (who/whom) I thought thoroughly honest proved to be a swindler.
21	"By market" would mean "by means of a market" or "using the device of a market" and would not, ordinarily make sense. Even if it sounds logical, there is no context I can think of in which "I used a market to buy this" would feel idiomatically correct. You can use "buy by X" to describe the method or measure of how something is normally bought: Gasoline is normally bought by volume, not by weight. Large orders of beef can be bought by grade. However, even with this it would be more common to say "sold by" or "priced by" and not "bought by". Gasoline/petrol is sold by volume Meat is priced by grade. If you want to say that a market is normally where or how to buy something, you would say something like: You can buy it at the market. You have to buy it at the market price, which changes daily. Shares in publicly traded companies are bought on the (stock) market. Or, in some cases, you could say: (Some special item) can only be bought through the (some special) market. Side note: "from market" is not idiomatic in American English. We almost always say "from the market". However, this is idiomatic, not grammatical, since we do say "from school", "from church", "from class", "from home" and various others.
22	Babel is the Hebrew name in biblical myth; since "Tower of Babel" is taken from scripture the Hebrew name is used. If I interpret the Wikipedia entry correctly is a sort of pun with an Hebrew word for confusion: In the Bible, the name appears as Babel (Hebrew: בָּבֶל‎‎, Bavel, Tib. בָּבֶל, Bāvel; Syriac: ܒܒܠ‎, Bāwēl), interpreted in the Hebrew Scriptures' Book of Genesis to mean "confusion",[13] from the verb bilbél (בלבל, "to confuse") In contrast "Babylon" is (the transliteration of) the places name (as per Wikipedia, "Greek Babylṓn (Βαβυλών), [is] a transliteration of the Akkadian Babili]") , so that is used when talking about geography instead of mythical stories.
23	Babel and Babylon have different origins and may actually reflect different words. The city known as Babylon was founded circa 2334 BCE, around or before the reign of Sargon of Akkad. Akkadian was the native language of the Mesopotamian nations at that time. The city became the largest in the world and the center of power under Hammurabi (1792-1750 BCE). The complete history of the place name is disputed. Hammurabi called his realm Babylonia (a transliteration of what is represented as Bab-ili, Babilli, or Babilla, from Akkadian (or perhaps Old Babylonian, which was the language of king Hammurabi). The English Babylon comes from Greek Babylṓn (Βαβυλών), from that transliteration. Bāb-ili ("Gate of God" or "Gateway of the God") also corresponds with the Aramaic Bab for Gate and El for God, hence Babel. In the Bible, the place name appears as Babel (Hebrew: בָּבֶל‎‎). The Mesopotamians built many monumental towers as temples. Archaeologists have discovered nineteen of these buildings in sixteen cities; the existence of another ten is known from literary sources. The ancient Babylonians called these brick mountains a ziqqurratu or ziggurat, which can be translated as "rising building" (Akkadian zaqâru, "to rise high"). Babylon, itself, contained a number of these. The Etemenanki was among the largest (92 x 92 x 92 meters). It was the most important (its Sumerian name E-temen-an-ki means "House of the foundation of heaven on earth"). This temple tower was erected at what was thought to be the center of the world, the axis of the universe, where a straight line connected earth and heaven. This aspect of Babylonian cosmology is echoed in the Biblical story, where the builders say "let us build a tower whose top may reach unto heaven" (apparently heaven is at 92 meters). This is the tower known as the Tower of Babel. Construction of the tower took over a century. The tower must have looked unfinished for a long time, and this may explain how the Biblical story came into being. The name "Tower of Babel" came from the biblical story about the tower, it was not the actual name of the tower (Etemenanki). Babel is a transliteration of the Hebrew. It could mean the Hebrew equivalent of the "Tower of Babylon". Or as Eike Pierstorff writes, it may have been a play on words. It could tie into the Biblical story because Babel is similar to Balal (בלל), the Hebrew word for confusion, and the verb bilbél (בלבל), "to confuse". *Sources: https://en.wikipedia.org/wiki/Babylon, http://www.ancient.eu/babylon/, http://www.livius.org/articles/place/etemenanki/, https://en.wikipedia.org/wiki/Akkadian Addendum: Incidentally, there is no connection between "Babel" and "babble", even though it might seem like the obvious origin. From Online Etymology Dictionary: babble (v.) mid-13c., babeln "to prattle, utter words indistinctly, talk like a baby," akin to other Western European words for stammering and prattling (Swedish babbla, Old French babillier, etc.) attested from the same era (some of which probably were borrowed from others), all probably ultimately imitative of baby-talk (compare Latin babulus "babbler," Greek barbaros "non-Greek-speaking"). "No direct connexion with Babel can be traced; though association with that may have affected the senses" [OED]. Meaning "to talk excessively" is attested from c. 1500. babble (n.) c. 1500, "idle talk," from babble (v.). In 16c., commonly in reduplicated form bibble-babble. Meaning "inarticulate speech" is from 1660s. Other nouns meaning "idle talk" included babblery (1530s), babblement (1640s).
24	First off, the use of the infinitive after the verb mind is ungrammatical (this source may be helpful). As for requests starting with the phrase "Do you mind"/"Would you mind", they may be used: 1.When you are asking for the permission to do something yourself – then it is followed either by "if" + "I do something" or (rarer) "my doing something". 2.When you are asking someone to do something – then it is followed by the gerund. Examples: Would you mind/Do you mind if I finish off the cake? Would you mind/Do you mind my sleeping here? Would you mind / Do you mind opening the window? The answer may be "Of course not!" which means "I don't/wouldn't mind if you do it", or "Of course I do (mind)!" which means the reverse. Also, to agree, you may answer "Go ahead!" or "Please, do!" or to disagree, "Please, don't!" (Then it would be polite to explain the reason for your disagreement) .
25	First, I must address what you said here: Because he didn’t mention any doctor before saying “the doctor”. You can read in another ELL answer that there are in fact other uses for the definite article besides "alluding to things that were previously mentioned." As this Wordnik page shows, the word the has several meanings and usages. Your example is a tricky one, though. Strictly following rules of grammar, one might think that "a doctor" might be more grammatically correct than "the doctor", but I think the latter is more idiomatic. Personally, I might use any of these: I"m going to see a doctor. I'm going to see the doctor. I'm going to see my doctor. I'd be most likely to use the first one when I'm on my way to a clinic or emergency room where I've never been before. And I'm most likely to use the last one when I have a scheduled appointment with my primary physician. I might use the one in the middle when neither one of those is true. Perhaps I'm going in as a walk-in patient where my regular doctor usually works, but I don't even know if he'll be there today. As I searched for a definition that might fit his context, I found this one in NOAD: the (article) informal used instead of a possessive to refer to someone with whom the speaker or person addressed is associated : I'm meeting the boss I think that one captures the "I'm going to the doctor" usage rather well. It may not be a personal relationship, but the physician-patient relationship as a whole is understood well enough that the usage of "the" sounds both normal and idiomatic.
26	A) I am going to see a doctor. B) I am going to see the doctor. C) I am going to the doctor. D) I am going to the doctor's office. E) I am going to the doctor's. F) I am going to see my doctor. G) I am going to see a new doctor. Choice A does not mean a random doctor. It simply does not say (in this sentence) what doctor. Usually the speaker is talking about the disease or problem, and is not interested in talking about "which doctor I will use". Choice B,C,D,E do not mean "my regular doctor". The phrase "the doctor's" is a standard idiom, which can mean any doctor's office. Many people use clinics, where they do not know what doctor they will see. They still say they are going to "the doctor". Only choices F and G tell us if the doctor you are visiting is your regular doctor, or a stranger. Neither H nor J says anything about what doctor you are visiting: H) Sorry, I can't talk right now. I am at a doctor's office.➡️doesn't use the idiom "the doctor's" so you need office J) Sorry, I can't talk right now. I am at the doctor's ➡️. uses the idiom
27	Yes! "Either" takes a singular verb. Either has seen that creature. ("Either have seen that creature" is incorrect.)
28	Introspective means a person who likes to look inward, look inside him- or herself and think. Anyone can be introspective at times in their life. introverted (noun, introvert) is a personality type, someone who is quiet and does not show much outward emotion. Introverts can be difficult people in terms of communicating with others.
29	Though they mean the same, they are not always interchangeable. You need to study the context before using those words as synonyms to each other. Say, for example, if there is a group of scientists and they are trying to do an experiment that has been previously attempted by someone else, they try to replicate the results. The word 'duplicate' doesn't go there! If I'm a good painter, I can replicate the Mona Lisa, I cannot 'duplicate' it! So, to answer this question, check twice before interchanging these words. Likewise, when you lose your original driving license or any other document, you apply for a duplicate copy. There, 'replica' does not work!
30	When you replicate something, you get a copy that's almost the same as the original, but not quite the same. There is usually some sort of difference between the original and the replicate. The original and its copy can have different sizes, for example. But the most important difference between the two is their identity—the original and its copy are not going to be the same thing at least in terms of their identity! An example that illustrates this best would be a replica of a famous painting. A professional painter can make an exact replica of the Mona Lisa. Even though the two paintings look exactly the same, we all agree that there is still a big difference between the two paintings! The original costs millions of dollars because it's the original work of Leonardo da Vinci and the replica is just a mere copy of it. So, the idea behind replication is that the replicate is always slightly different from the original at least in terms of its identity. As for the other term, the result of the process of duplication is a duplicate which is an identical copy of the original in all of its aspects. If you make a duplicate of the keys to your house, the duplicate is going to be absolutely identical to the original keys in all respects. This means that a duplicate of something is as good as the original and can be used to replace it completely while this is usually not true for replicates.
31	In addition to the answers above, I would add that a duplicate mostly apply to objects, like an ID card duplicate in case of loss or damage, a line in a source code, a photocopy of a document... The noun replicate was already stated by previous answers, but now, let's consider the verb to replicate Consider a crime scene witnessed by someone. When asked from the police, the witness may for example replicate the gestures of the murderer to describe how the scene went. In this context, it is more like mimics, trying to be as close as possible to the original action. Now, consider software engineering. The tester tells the programmer that there is a bug on the X module. The programmer tests the module but is unable to find out what manipulations the tester did in order to the bug to occur. He then calls the tester to show him what he did step by step. The tester then replicates his actions and the bug is occuring again. So, the verb to replicate may still infer copying something, but it could also be re-doing something, as the verb to duplicate is mostly making a copy of something.
32	In addition to the answers above, I get the impression that "duplication" generally refers to one duplicate copy (as opposed to triplicate), and sometimes a few (eg "I cut four duplicate keys from the original, and I still have the duplicate keys with me"), and the focus is more on the object being duplicated. So you may have a duplicate that you used a different process to produce, as long as they are identical in all ways that matter. A duplicate is also normally 1:1 scale to the original. Whereas "replicate" seems to be more focused on the process and the result is the same or close to the same because you performed the same process, or at least you say you did (if its something you are selling to tourists). A replica may be scaled up or down from the original and still be called a replica (eg "He replicated his winning sales strategy from a small business beginning all the way up to a multi-million dollar company"). For instance You replicate old ships, not duplicate them: https://en.wikipedia.org/wiki/Ship_replica (though they seem to like calling significant scale changes "models" not replicas) Anyway, my 5c worth, based on my understanding of usage in Australia, sailing and computer science.
33	Duplication is making an exact copy of an existing ojbect (you duplicate the key of your house). Replication is making many object from the same model, for example industry mass produtions, you replicate the same car model.
34	It should be noted that replication and duplication technically refer to processes, not any result or object that results from such processes. Previous answers refer to the end result to determine which process has been followed (replication or duplication); ie that a duplicate is normally an exact copy of an original (such as a photocopy of a paper) whereas a replica is not necessarily to the exact specifications or dimensions. However if is important to note that while the processes of duplication and replication may be different, the end result from both can still be identical. For example: A computer programmer codes some software that produces a result. Another programmer is asked to replicate that software. The second programmer may use an entirely different method to achieve the same result. However, in an entirely different example: if it is found that two people are performing the exact same task and the repetition of work is unnecessary, this is referred to as a duplication of work irregardless of whether the two are strictly following the same process, so there are clearly exceptions. Finally, although the correct English terms for the results of duplication and replication would be duplicate and replica, it is not uncommon in colloquial speech to hear them referred to by their processes. Incorrect, but nevertheless sometimes used.
35	The style of headline involved here tends to omit small words that a native reader finds easy to restore. Something like Man Found Alive would be understood to mean A man was found alive. This restored sentence is cast in the passive voice. An active voice equivalent is easier to examine: Someone found a man alive. The term "linking verb" is reserved for those verbs which directly license subject complements. The adjective "alive" is a complement in the active voice statement above, but it is not a subject complement there. It's an object complement. There does exist a label which covers this situation. The verb to find is a complex transitive verb. Your observation is correct. Even in the passive voice, to find still licenses an optional complement. When the clause is in the passive voice, that complement is an attribute of the subject. It seems entirely reasonable to consider the "alive" of "a man was found alive" to be a subject complement. It is not quite as reasonable to consider to find as a linking verb. On its own, that verb does not license subject complements. Instead, it is the complete passive-voice construction "was found" that offers this license. Within this construction, that license is provided by the "was", which by itself is a linking verb. To be is a linking verb. To find is a transitive verb, and optionally a complex transitive verb. Together, they create the passive construction "was found", which promotes the target of its complement to its subject. The headline in question has a linking construction that's missing its essential linking verb.
36	This whole concept is surely the wrong way round. The world, from which the sample has been taken, is how it is, without regard to any models that you might have chosen to use through which to view the world. So models are not applied, but are tested. You are not testing the sample, you are testing your models. So " we tested our model with these data and..."
37	I truly hate the vocabulary used with participles. In English, participles are formed from verbs. Each verb has a progressive participle and a perfect participle. The principle purpose of participles is in verbal phrases for the purpose of indicating the aspect of the lexically significant verb. However, participles can also be used as adjectives or as nouns. When they are used as nouns, they are called gerunds. The children were running the business on their own by then. The participle "running" is used here as the lexically significant part of a verbal phrase that is in the past progressive tense. They bought a thriving business. The participle "thriving" is used here as an adjective. Swimming is good though tedious exercise. The participle "swimming" is used here as a noun and so is called a gerund. It would be easier for students if we said that a "gerund" is one way that progressive pariciples are used in English. There is no difference in form between a participle and a gerund.
38	The preposition phrase "next to the bar" is modifying "the supermarket" since it is tightly following "the supermarket". If the preposition phrase is modifying "the bank," it'd be written like this: The bank is opposite the supermarket and next to the bar.
39	Great discussion! So I was the phrase ‘When’s the last time you got lucky?’ on a billboard. This sparked my curiosity because I thought it was incorrect to use the contraction for when was, and based on the definition for when’s you have to use When is the last time you got lucky, not when was the last time you got lucky. Therefore, both should be allowed in speech or either you can’t use the contraction and we know it to be used this way quite often… Funny thing about grammar- it seems to be ignored ignored more often when speaking than when writing…
40	It reminds me of a slogan-like sentence: "make it possible". If we paraphrase that in a passive voice, we get this: "it is made possible". I think this follows the same structure or grammar as "all are created equal".
41	As this article explains, The basic manoeuvre is a sucking of air through the teeth from behind pursed lips – or as academics describe it, a "velaric ingressive airstream involving closure at two points in the mouth". But thereafter there is nuance. There is the short, sharp kiss from the front teeth on either side. Usually this denotes minor irritation or mild disapproval. It may be deployed with a shake of the head and perhaps the glimmer of a smile, recognising the absurdity of what has transpired. Moving up the scale, there is the sucking from further back in the mouth. Longer in duration and louder, this responds to episodes occasioning deeper incredulity. This video is a somewhat tongue-in-cheek explanation, but it also shows it well: http://www.youtube.com/watch?v=JSBMqGCdw84
42	I found an explanation of "kissing teeth" in a blog post by Azizi Powell on Pancocojams, a blog which (in its own words) showcases the customs of people of Black descent throughout the world. In this post, she explains something about the history of the term and the various different words which can be used for it in different parts of the Caribbean: The phrase "suck your teeth" is documented as early as 1915 in Jamaica and is also found in Barbados, Belize, and Guyana, Trinidad, and the United States (particularly among African Americans). In Tobago, kiss teeth is called "hiss teeth" and in the Cayman Islands it is called "sucking your mouth". Source: http://privatewww.essex.ac.uk/~patrickp/papers/KSTpapwww.pdf The Meaning Of Kiss Teeth [...] In the Caribbean kiss teeth is represented by the initials "KST" (kiss teeth) and "KMT" (kiss my teeth). Among people from the Caribbean, kiss teeth can be represented in writing using the words "Cho!", "Chups", "Tchuipe, "Chupes", "Stchuup”, and similarly spelled words. These words are both nouns and verbs. [...] A well deserved ode to the tjoerie. The what?!? The tjoerie, which is the Surinamese word for what is known in the French West Indies as 'le tchip' and in the English speaking part of the Caribbean as 'kiss-teeth'. When something or someone becomes too annoying, one always has an effective weapon at their disposal: a long, cricket-like sound of which the effect combined with rolling eyes is deadly insulting. There is no one that does not respect a good tjoerie. She also includes a video in her blog post to demonstrate the "tjoerie" in action: https://youtu.be/ha9-RAJK65g
43	Kissing teeth, or the "velaric ingressive airstream involving closure at two points in the mouth" may be considered disrespectful and a culpable expression of contempt. It is banned in many French schools and at one time was liable to result in arrest in Britain if done by someone being questioned by police. French schools ban teeth-sucking
44	Option 1: I'm Back! For an IF game, probably the easiest way to allow character death is to allow some kind of backup, or a chance to be restored to life. Examples include: Cloning Technology - Your character has been cloned (or can be), and when the original dies, a clone takes his place. This method is used in the classic SF/humor RPG Paranoia, specifically to let characters be killed off constantly. Time Travel - In a time-travel story, sometimes the time-travel technology lets you "come in from the future" and make another attempt if "things go wrong." Beat Death - Some RPGs solve the death problem by making it simply an extra challenge: dying just takes you to a different level, which you must beat, and then you can return and continue with the game. So you could have a "Hell" level or a "Deal with the Devil" challenge or some such, allowing you to return to life once you beat the extra level. (I remember the Neverwinter Nights module Witch's Wake did this.) There's also the brilliant use of story-as-a-flashback in Zarf's Spider and Web (HIGHLY recommended!). Obviously you don't want to copy such a unique structure wholesale, but the unusual approach may give you ideas for similarly oddball structures that might work for you. Option 2: I'm Still Here! This seems to be more what you had in mind - ways to exert influence despite having, shall we say, shed the mortal coil. Do bear in mind, though, that creating a whole new mode of play can be quite a chore for an interactive-fiction game! If you like any of these ideas, you might consider basing the entire game around the concept, rather than adding the extra mode in as an odd extension. Some ideas: Ghostly Haunting - Your own suggestion, and quite effective for your purposes. A ghost has limited interaction with the world - how limited is up to you. A ghost can certainly continue to wander around; maybe it's more limited in what it can touch and manipulate; maybe it can't speak easily to others. Maybe it also has new powers - like walking through walls, or possessing NPCs. A particular variation could set the player as the incorporeal sidekick of an "independent" NPC. Kind of the reverse of what Jeremy Freese did with Violet. Reincarnation - A more mystical/fantastical approach to having a backup character would be reincarnating as someone or something else. Guidance From Beyond - Set up some way to give advice to some sidekick character - dreams and visions; flashback memories; a will; a prophecy. You can set this up so the "advice" is retroactively assumed to have already been provided. Hope this helps. If I have any other ideas, I'll add them on later.
45	Any reflection written in an European context is based on a philosophical idea of reasoning. It means the issue is deepened and put in perspective. Each development brings a new nuance. This however, has nothing to do with "not picking a side" (as this has to do with writing a report or a argumentative essay). Any reflection written in an American context does indeed pick a side and will support a definite conclusion. This explains why more complex issues often have to be simplified or considered in a narrower focus. When it comes to writing mechanics, the rules also change. As a general rule, the American conventions are stricter and more rigid. Quality of reflection is usually prized above all in European standards.
46	One easy, cheap and workable approach to writing without worldbuilding is when the world is known. Your story takes place at the White House, your protagonist is President Trump. Everyone knows all the rest. Just sketch out the events. Another, harder - is to write apart from the setting. The events and conflicts are universal, essentially per Alexander's answer. What you're trying to do though, is very hard to do right - and very easy to get wrong. When the world is just a minimal sketch of weirdness surrounding the characters, but definitely interacts with them, you're at constant risk of introducing Deus Ex Machina - a very bad tool, a total rock bottom when it comes to quality of prose. Your deus ex machina may come as immediate solution, contrivance or problem that was not foreshadowed, is not understandable to the reader, serves no other purpose than to advance the plot, and in effect your story becomes either a pulp of cheapest kind or a starts resembling milder forms of Schizophasia. It takes a very skilled writer to pull it off - have the world with unexplainable mysteries, but still compelling, the sudden revelations spicing the story up instead of watering it down. Considering you're even asking this question, I'd suggest you take a more conservative approach. Just knowing that it can be done doesn't put you much closer to knowing how to do it right.
